Saida Sigla,Saida Nome Aeroporto,Chegada,Chegada Nome Aeroporto,Distancia (Km),Airline,ModelosAvioes
ORD,O'Hare International Airport,YYZ,Toronto Pearson International Airport,702,Korean Air-Jazz Aviation-American Airlines-Air Canada-United Airlines-WestJet,74N-E75-E75S-CR2-CRJ-319-B738-738-7S8-7M9-E7W-B39M-7F8
LAX,Los Angeles International Airport,JFK,John F. Kennedy International Airport,3979,American Airlines-JetBlue Airways-Delta Air Lines,A321-32B-321-32S-B763-76W-B764-75W-76C-764-A339-B752
LAX,Los Angeles International Airport,LAS,Harry Reid International Airport,380,Alaska Airlines-Delta Air Lines-Spirit Airlines-Southwest Airlines-JSX-American Airlines-JetBlue Airways-United Airlines,B738-7S8-73J-73H-7M9-LJ60-32N-A20N-B737-73W-7M8-ER3-738-E75L-E170-E75-320-A320-32A-B737-739-B739
LAX,Los Angeles International Airport,MIA,Miami International Airport,3767,American Airlines-Delta Air Lines-JetBlue Airways-Korean Air,A21N-32Q-B739-73J-739-A321-32S-32B-77X
LAX,Los Angeles International Airport,MCO,Orlando International Airport,3566,JetBlue Airways-Delta Air Lines-American Airlines-United Airlines,A320-320-A21N-A321-32Q-B739-73J-739-B738-738-73H-321-B39M-7M9
LAX,Los Angeles International Airport,CLT,Charlotte Douglas International Airport,3416,American Airlines,A21N-32Q-A321-321
LAX,Los Angeles International Airport,SEA,Seattle–Tacoma International Airport,1539,JetBlue Airways-Delta Air Lines-United Airlines-Air Transport International-American Airlines-Alaska Airlines-Cargolux,A320-320-A321-32Q-B738-B737-738-7S8-B763-E75L-E75-E75S-7M9-73J-32B-B739-B39M-73H-74F-B38M-7M8
LAX,Los Angeles International Airport,PHX,Phoenix Sky Harbor International Airport,595,American Airlines-ABX Air-Southwest Airlines-Delta Air Lines-United Airlines-iAero Airways,73W-B738-73H-738-A21N-32Q-32B-321-B763-B737-73W-7M8-E75L-E170-E75-E7W-B38M-7M8-753-738
LAX,Los Angeles International Airport,EWR,Newark Liberty International Airport,3945,Alaska AIirlines-United Airlines-JetBlue Airways-Spirit Airlines,A321-32Q-32B-A21N-B752-752-75W-32S-A320-32A-A20N-B772-777-B78X-781
LAX,Los Angeles International Airport,SFO,San Francisco International Airport,544,Delta Air Lines-Korean Air-Asiana Airlines-United Airlines-Southwest Airlines-American Airlines-Alaska Airlines-JetBlue Airways-China Airlines-New England Airlines-ABX Air-Nippon Cargo-Airlines,A320-320-A319-319-B748-74N-B744-74F-B738-738-7S8-B737-73W-73H-E75L-E75-E160-E75S-B739-73J-7M9-B77L-74Y-74F-77W-739-B38M-7M8
LAX,Los Angeles International Airport,IAH,George Bush Intercontinental Airport,2217,Spirit Airlines-Amercan Airlines-Delta Air Lines-United Airlines,A20N-A320-32A-A321-32B-E75L-E75S-E75-A319-319-32N-B739-73J-739-B39M-7M9
LAX,Los Angeles International Airport,BOS,Logan International Airport,4198,JetBlue Airways-Delta Air Lines-American Airlines-United Airlines,32Q-32S-32B-A321-321-75W-B752-752
LAX,Los Angeles International Airport,FLL,Fort Lauderdale–Hollywood International Airport,3767,JetBlue Airways-Delta Air Lines-Spirit Airlines,A320-32S-A321-32B-A21N-32Q-A20N-32N
LAX,Los Angeles International Airport,MSP,Minneapolis/St Paul International Airport,2470,Delta Air Lines-Sun Country Airlines,A321-32B-321-B739-73J-739-32Q-B738-738
LAX,Los Angeles International Airport,LGA,LaGuardia Airport,3970,Delta Air Lines,223
LAX,Los Angeles International Airport,LHR,Heathrow Airport,8769,Virgin Atlantic-American Airlines-British Airways-Delta Air Lines-United Airlines,A35K-351-B789-789-B77W-77W-B772-772-B773-A339-339-B789-789
LAX,Los Angeles International Airport,LGW,London Gatwick Airport,8807,Norse UK,B789-789
LAX,Los Angeles International Airport,DXB,Dubai International Airport,13415,Emirates,A388-388
LAX,Los Angeles International Airport,IST,Istanbul Airport,11015,Turkish Airlines,B789-77W-B773-789-B77W
LAX,Los Angeles International Airport,MAD,Adolfo Suárez Madrid–Barajas Airport,9396,Iberia,A359-359
LAX,Los Angeles International Airport,BCN,Josep Tarradellas Barcelona–El Prat Airport,9685,Iberia,A332-332
LAX,Los Angeles International Airport,SIN,Singapore Changi Airport,14117,Singapore Airlines,A359-359
LAX,Los Angeles International Airport,JED,King Abdulaziz International Airport,13405,Saudia,B77W-773
LAX,Los Angeles International Airport,DOH,Hamad International Airport,13362,Qatar Airways,A35K-351
LAX,Los Angeles International Airport,MNL,Ninoy Aquino International Airport,11753,Philippine Airlines,B77W-773-B773
LAX,Los Angeles International Airport,AMS,Amsterdam Airport Schiphol,8996,KLM-Singapore Airlines,B78X-781-B744-74Y-74F
LAX,Los Angeles International Airport,CUN,Cancún International Airport,3410,Alaska Airlines-American Airlines-JetBlue Airways-Delta Air Lines-United Airlines,B739-73H-73J-32B-320-B39M-7M9-739
LAX,Los Angeles International Airport,MEX,Mexico City International Airport,2503,Alrosa-Aeromexico-Delta Air Lines-VivaAerobus-Volaris-American Airlines,76X-B38M-7M8-B788-788-B752-75W-757-A20N-32Q-32N-A21N-A319-319
LAX,Los Angeles International Airport,HND,Tokyo Haneda Airport,8822,Delta Air Lines-American Airlines-Jet Linx Aviation-United Airlines-All Nippon Airways,A339-339-B788-788-B77W-77W-B78X-781-B789-789
LAX,Los Angeles International Airport,FCO,Leonardo da Vinci–Fiumicino Airport,10215,ITA Airways,A359-359
LAX,Los Angeles International Airport,MUC,Munich Airport,9627,Lufthansa-Gulf and Caribbean Cargo,A359-359-GLEX
LAX,Los Angeles International Airport,FRA,Frankfurt Airport,9331,Lufthansa-Condor-Emirates,A343-343-B748-74H-A332-A339-332-77X
LAX,Los Angeles International Airport,CDG,Charles de Gaulle Airport,9113,Air Tahiti Nui-Air France-Delta Air Lines,B789-789-B77W-77W-A359-359-B772-772-A339-339
LAX,Los Angeles International Airport,ORY,Orly Airport,9126,French Bee,A359-359
LAX,Los Angeles International Airport,BOG,El Dorado International Airport,5607,Avianca,A332-332
LAX,Los Angeles International Airport,GRU,São Paulo/Guarulhos International Airport,9930,LATAM Airlines,B773-773
LAX,Los Angeles International Airport,SYD,Sydney Airport,12075,American Airlines-Delta Air Lines-Qantas-Kalitta Air-United Airlines,B77W-77W-A359-359-A388-388-B789-B77L-789
LAX,Los Angeles International Airport,YYZ,Toronto Pearson International Airport,3498,Air Canada-Lynx Air-WestJet,B38M-7M8-333-A321-321-73H
JFK,John F. Kennedy International Airport,LAS,Harry Reid International Airport,3.613,JetBlue Airways-Delta Air Lines,A321-321-32S-32Q-A21N-32B
JFK,John F. Kennedy International Airport,MIA,Miami International Airport,1759,American Airlines-JetBlue Airways-Delta Air Lines-Turkish Airlines-LATAM Cargo,B772-772-B738-73H-738-B38M-7M8-320-74F-76F-B762
JFK,John F. Kennedy International Airport,MCO,Orlando International Airport,1523,JetBlue Airways-Delta Air Lines-,320-A320-A21N-A321-32B-32Q
JFK,John F. Kennedy International Airport,CLT,Charlotte Douglas International Airport,872,American Airlines-Delta Air Lines,B738-738-B38M-7M8-A319-31B-319-CRJ9-CR9-E75-E75S-E170
JFK,John F. Kennedy International Airport,SEA,Seattle–Tacoma International Airport,3891,Alaska Airlines-JetBlue Airways-Delta Air Lines-Asiana Airlines,B739-73J-7M9-B738-7S8-73H-B39M-A321-321-32S-A21N-32Q-74F
JFK,John F. Kennedy International Airport,PHX,Phoenix Sky Harbor International Airport,3462,JetBlue Airways-Delta Air Lines-American Airlines,A321-320-321-A21N-32Q-B739-73J-739-B38M-7M8
JFK,John F. Kennedy International Airport,EWR,Newark Liberty International Airport,33,JetBlue Airways,A320
JFK,John F. Kennedy International Airport,SFO,San Francisco International Airport,4156,American Airlines-Alaska Airlines-JetBlue Airways-Delta Air Lines,A321-32B-B739-73J-7M9-B39M-73H-32S-321-B752-75W-76W
JFK,John F. Kennedy International Airport,IAH,George Bush Intercontinental Airport,2280,JetBlue Airways-Qatar Airways,320-77X
JFK,John F. Kennedy International Airport,BOS,Logan International Airport,300,JetBlue Airways-American Airlines-Delta Air Lines,E90-321-E170-E75-E75L-E190-A321-BCS1-221-E7W-E75S
JFK,John F. Kennedy International Airport,FLL,Fort Lauderdale–Hollywood International Airport,1725,JetBlue Airways-Delta Air Lines,A320-320-321-A321-32B
JFK,John F. Kennedy International Airport,MSP,Minneapolis/St Paul International Airport,1653,Sun Country Airlines-Delta Air Lines,B738-738-A320-A319-319-320-221
JFK,John F. Kennedy International Airport,LHR,Heathrow Airport,5545,JetBlue Airways-Delta Air Lines-Virgin Atlantic-American Airlines-British Airways,A21N-32Q-B764-764-A339-339-330-A333-333-B77W-B773-77W-B772-772-A35K-351
JFK,John F. Kennedy International Airport,LGW,London Gatwick Airport,5575,JetBlue Airways-Delta Air Lines-Norse UK-British Airways,A21N-32Q-B763-76W-B789-789-B772-B77L-777
JFK,John F. Kennedy International Airport,DXB,Dubai International Airport,11014,Emirates,A388-388
JFK,John F. Kennedy International Airport,IST,Istanbul Airport,8035,Turkish Airlines-MNG Airlines,B77W-B773-77W-A333-333-33X-ABY-33F-77X
JFK,John F. Kennedy International Airport,MAD,Adolfo Suárez Madrid–Barajas Airport,5767,American Airlines-Air Europa-Delta Air Lines-Iberia,B772-772-B789-788-B763-76W-A359-359-A332-332
JFK,John F. Kennedy International Airport,BCN,Josep Tarradellas Barcelona–El Prat Airport,6157,American Airlines-Delta Air-Iberia,B772-772-B763-76W-A333-333
JFK,John F. Kennedy International Airport,SIN,Singapore Changi Airport,15358,Singapore Airlines,A359-359
JFK,John F. Kennedy International Airport,JED,King Abdulaziz International Airport,10237,Saudia,B77W-777
JFK,John F. Kennedy International Airport,MNL,Ninoy Aquino International Airport,13771,Philippine Airlines,A359-350
JFK,John F. Kennedy International Airport,DOH,Hamad International Airport,10782,American Airlines-Qatar Airways,B77W-B773-77W-A35K-351
JFK,John F. Kennedy International Airport,MEX,Mexico City International Airport,3369,Aeromexico-Delta Air Lines-VivaAerobus-American Airlines,B38M-7M8-B788-788-B752-75W-757-A320-320
JFK,John F. Kennedy International Airport,CUN,Cancún International Airport,2509,JetBlue Airways-Delta Air Lines-American Airlines,A321-32B-321-B739-73J-739-B38M-7M8-320
JFK,John F. Kennedy International Airport,AMS,Amsterdam Airport Schiphol,5854,Delta Air Lines-Kalitta Air-KLM-JetBlue Airways,A339-339-A333-333-74F-B78X-781-772-789-B772-A21N-32Q
JFK,John F. Kennedy International Airport,HND,Tokyo Haneda Airport,10887,Jet Linx Aviation-All Nippon Airways,B77W-B773-77W-773-788
JFK,John F. Kennedy International Airport,FCO,Leonardo da Vinci–Fiumicino Airport,6874,American Airlines-ITA Airways-Delta Air Lines-Norse,A339-B772-772-A332-330-339-B764-76C-332-A333-333-B789-789
JFK,John F. Kennedy International Airport,BOM,Chhatrapati Shivaji Maharaj International Airport,12546,Air India,B77L-77L
JFK,John F. Kennedy International Airport,DEL,Indira Gandhi International Airport,11768,American Airlines-Air India,B77W-B773-77W
JFK,John F. Kennedy International Airport,FRA,Frankfurt Airport,6.195,Singapore Airlines-Air Antilles-Delta Air Lines-Lufthansa-Condor-Lufthansa,B77W-B773-77W-B77L-332-A332-A346-343-A343-A339-339-77X-346
JFK,John F. Kennedy International Airport,CDG,Charles de Gaulle Airport,5841,Air France-American Airlines-Delta Air Lines-Norse-JetBlue Airways,B77W-B773-77W-B772-772-B764-76C-A333-333-789-A21N-32Q
JFK,John F. Kennedy International Airport,BOG,El Dorado International Airport,4001,Avianca-Alrosa-Delta Air Lines,A20N-A319-320-319-B762-A320-B752-75W-757
JFK,John F. Kennedy International Airport,GRU,São Paulo/Guarulhos International Airport,7672,American Airlines-Delta Air Lines-LATAM Airlines,B772-772-B764-76C-764-B789-789
JFK,John F. Kennedy International Airport,MUC,Munich Airport,6488,Lufthansa,A388-388
JFK,John F. Kennedy International Airport,YYZ,Toronto Pearson International Airport,589,Cathay Pacific-American Airlines-Air Canada-Delta Air Lines-Flair Airlines-Turkish Airlines,E75S-B748-74N-E75L-E75-E7W-CRJ9-CR9-B38M-7M8-77X
LAS,Harry Reid International Airport,MIA,Miami International Airport,3498,American Airlines-Spirit Airlines,A321-32B-321-B38M-7M8-A319-319
LAS,Harry Reid International Airport,MCO,Orlando International Airport,3280,Frontier-Southwest Airlines-Spirit Airlines,A20N-7M8-32N-A20N-32Q-A319-319-B38M-73W
LAS,Harry Reid International Airport,CLT,Charlotte Douglas International Airport,3080,American Airlines-Frontier-Spirit Airlines,A321-321-32B-A21N-32Q-A20N-32N
LAS,Harry Reid International Airport,SEA,Seattle–Tacoma International Airport,1397,Alaska Airlines-Spirit Airlines-Southwest Airlines-Delta Air Lines-Frontier,B739-737-7S8-73J-7M9-B738-73H-32N-B737-73W-738-A321-32Q-321-A20N-A320-321-32B-7M8-B38M
LAS,Harry Reid International Airport,PHX,Phoenix Sky Harbor International Airport,411,American Airlines-Frontier-Southwest Airlines-JSX-Air Cargo Carriers-Ameriflight-Spirit Airlines,B38M-7M8-A20N-32N-321-B738-73H-73W-E145-ER4-ER3-SH36-SH6-SW4-B738-32Q-738-A21N-320-32A-A320-319-B737-B734
LAS,Harry Reid International Airport,EWR,Newark Liberty International Airport,3.580,Spirit Airlines-United Airlines,A320-32N-32A-B738-B737-738-7S8-320-A320-7M8-B39M-7M9-B38M-B752-752-75W-772-7M8
LAS,Harry Reid International Airport,SFO,San Francisco International Airport,666,Alaska Airlines-Jet Linx Aviation-United Airlines-Southwest Airlines-New England Airlines-Frontier,B39M-B739-73J-739-73H-737-CL30-B738-738-7M8-E170-E70-E75-GL5T-A20N-32Q-321-320-32N-32B-B38M-319-B737-73W
LAS,Harry Reid International Airport,IAH,George Bush Intercontinental Airport,1965,Spirit Airlines-Sun Country Airlines-Frontier-United Airlines-Southwest Airlines,32A-738-73H-A21N-32N-A20N-A321-321-A320-32B-B39M-B737-73J-739-7M8-B739-73W-B738
LAS,Harry Reid International Airport,BOS,Logan International Airport,3.827,JetBlue Airways-Spirit Airlines-Delta Air Lines,A321-32Q-A21N-A20N-321-32S-32N
LAS,Harry Reid International Airport,FLL,Fort Lauderdale–Hollywood International Airport,3496,JetBlue Airways-Spirit Airlines,A321-321-A20N-32N
LAS,Harry Reid International Airport,MSP,Minneapolis/St Paul International Airport,2090,Spirit Airlines-Sun Country Airlines-Delta Air Lines-Southwest Airlines,A321-32B-321-A320-32N-B738-738-7M8-32Q-B739-73J-739-A21N
LAS,Harry Reid International Airport,LGA,LaGuardia Airport,3604,Delta Air Lines,223
LAS,Harry Reid International Airport,LHR,Heathrow Airport,8404,British Airways-Virgin Atlantic,A35K-359-351-B789-789
LAS,Harry Reid International Airport,LGW,London Gatwick Airport,8442,British Airways,B77L-777
LAS,Harry Reid International Airport,AMS,Amsterdam Airport Schiphol,8.607,KLM,B78X-781-789
LAS,Harry Reid International Airport,MEX,Mexico City International Airport,2430,Aeromexico-VivaAerobus-Volaris,B738-7S8-A320-320-A21N-32Q-32N
LAS,Harry Reid International Airport,FRA,Frankfurt Airport,8972,Discover Airlines-Condor,333-332-A339-339
LAS,Harry Reid International Airport,YYZ,Toronto Pearson International Airport,3124,jetlines-Air Canada-WestJet,A320-32A-321-320-A321-7M8-73W-B38M
MIA,Miami International Airport,MCO,Orlando International Airport,310,Delta Air Lines-American Airlines,738-32Q-321-7M8-319-73H-B738-A21N-A321-B38M
MIA,Miami International Airport,CLT,Charlotte Douglas International Airport,1051,American Airlines-Spirit Airlines,B38M-B738-738-A321-321-73H-32S-319-32A
MIA,Miami International Airport,SEA,Seattle–Tacoma International Airport,4385,Alaska Airlines-American Airlines,B39N-7M9-A21N-32Q
MIA,Miami International Airport,PHX,Phoenix Sky Harbor International Airport,3172,American Airlines,B38M-7M8-A21N-32Q
MIA,Miami International Airport,EWR,Newark Liberty International Airport,1753,American Airlines-JetBlue Airways-Spirit Airlines-United Airlines,B38M-7M8-B738-73H-738-A320-320-A20N-32N-A321-32B-7S8-B739-739
MIA,Miami International Airport,SFO,San Francisco International Airport,4158,American Airlines-China Airlines,A21N-32Q-B744-74Y
MIA,Miami International Airport,IAH,George Bush Intercontinental Airport,1551,Cathay Pacific-American Airlines-China Airlines-Cargolux-Spirit Airlines-United Airlines,74N-B738-73H-738-E75L-E75-74Y-74F-B744-A20N-32N-7M9-73G-73J-7S8-7M8
MIA,Miami International Airport,BOS,Logan International Airport,2030,American Airlines-Delta Air Lines-JetBlue Airways-Spirit Airlines,B738-73H-738-BCS3-223-B38M-7M8-A21N-32Q-A21N-A321-321-738-223-A20N-32N
MIA,Miami International Airport,FLL,Fort Lauderdale–Hollywood International Airport,34,FedEx,B752
MIA,Miami International Airport,MSP,Minneapolis/St Paul International Airport,2421,Delta Air Lines,A320-320
MIA,Miami International Airport,LGA,LaGuardia Airport,1.770,American Airlines-Spirit Airlines-Delta Air Lines,A321-B738-B38M-73H-319-32B-738-7M8
MIA,Miami International Airport,LHR,Heathrow Airport,7117,Virgin Atlantic-American Airlines-British Airlines,B789-789-B772-772-B77W-77W-A388-388-A333-333
MIA,Miami International Airport,LGW,London Gatwick Airport,7141,Norse UK,789
MIA,Miami International Airport,DXB,Dubai International Airport,12621,Emirates,B77W-B773-77W
MIA,Miami International Airport,IST,Istanbul Airport,9595,Turkish Airlines,B77W-B773-789-77W-B789-74F-B77F
MIA,Miami International Airport,MAD,Adolfo Suárez Madrid–Barajas Airport,7114,American Airlines-Air Europa-Iberia,B788-788-789-A333-A332-333-330-332
MIA,Miami International Airport,BCN,Josep Tarradellas Barcelona–El Prat Airport,7553,American Airlines,B788-788
MIA,Miami International Airport,DOH,Hamad International Airport,12354,Qatar Airways,A35K-351
MIA,Miami International Airport,AMS,Amsterdam Airport Schiphol,7451,Atlas Air-Martinair Holland-LATAM Cargo,B744-74Y-76F-B763
MIA,Miami International Airport,CUN,Cancún International Airport,856,American Airlines-Estafeta-LATAM Airlines,B738-73H-738-7M8-A21N-32Q-B734-789
MIA,Miami International Airport,MEX,Mexico City International Airport,2053,Alrosa-American Airlines-Aeromexico-Amerijet International-Avianca Cargo-Volaris,76X-B38M-7M8-B738-7S8-75F-76Y-33F-A21N-32Q
MIA,Miami International Airport,FCO,Leonardo da Vinci–Fiumicino Airport,8339,ITA Airways,A332-339-330
MIA,Miami International Airport,FRA,Frankfurt Airport,7771,Lufthansa,B748-74H
MIA,Miami International Airport,CDG,Charles de Gaulle Airport,7380,Air France,B77W-B773-77W
MIA,Miami International Airport,ORY,Orly Airport,7375,French Bee,A359-359
MIA,Miami International Airport,BOG,El Dorado International Airport,2438,Avianca-Atlas Air-UPS-American Airlines-FedEx-IrAero-LATAM Airlines-Avianca Cargo-Air Canada-Martinair Holland-Turkish Airlines,A320-320-B788-788-A20N-74F-B763-763-A319-319-B741-33F-76F-74Y-33X-77X
MIA,Miami International Airport,GRU,São Paulo/Guarulhos International Airport,6581,American Airlines-Atlas Air-LATAM Cargo Colombia-LATAM Airlines-Turkish Airlines,B77W-B773-77W-788-B788-B748-B744-B763-773-B789-789-77X
MIA,Miami International Airport,YYZ,Toronto Pearson International Airport,1992,American Airlines-Air Canada-WestJet,A319-31B-319-223-76F-7F8
MCO,Orlando International Airport,CLT,Charlotte Douglas International Airport,756,American Airlines-Frontier-Spirit Airlines,A321-321-32B-A20N-32N-32Q-A319-319
MCO,Orlando International Airport,SEA,Seattle–Tacoma International Airport,4109,Alaska Airlines-Delta Air Lines,B739-B39M-73H-7S8-7M9-73J-A21N-32Q-A321
MCO,Orlando International Airport,PHX,Phoenix Sky Harbor International Airport,2973,American Airlines-Frontier-Southwest Airlines,A21N-32Q-321-A20N-32N-73W-B38M-7M8-738
MCO,Orlando International Airport,EWR,Newark Liberty International Airport,1513,Spirit Airlines-JetBlue Airways-United Airlines-Sun Country Airlines,A319-A320-A321-319-320-321-32A-32B-B752-752-B739-739-B738-738-B737-7S8-73J-7M8-7M9-73G-B38M-B39M
MCO,Orlando International Airport,SFO,San Francisco International Airport,3933,Alaska Airlines-United Airlines,B739-73H-73J-7M9-B39M
MCO,Orlando International Airport,IAH,George Bush Intercontinental Airport,1374,Spirit Airlines-United Airlines-Frontier-Southwest Airlines,A319-319-A320-32A-A20N-32N-B739-73J-739-7M8-73H-B38M
MCO,Orlando International Airport,BOS,Logan International Airport,1808,JetBlue Airways-Spirit Airlines-Delta Air Lines-Frontier,A320-320-BCS3-32A-223-E90-A321-321-32B-E190-B738-A20N-319-32N
MCO,Orlando International Airport,FLL,Fort Lauderdale–Hollywood International Airport,286,Silver Airways-Spirit Airways-Sun Country Airlines-Southwest Airlines,AT72-AT7-A321-32B-B738-B737-73W-B38M-7M8
MCO,Orlando International Airport,MSP,Minneapolis/St Paul International Airport,2113,Sun Country Airlines-Delta Air Lines,738-B738-A321-32B-321-A21N
MCO,Orlando International Airport,LGA,LaGuardia Airport,1533,JetBlue Airways-Delta Air Lines-Spirit Airlines-Frontier,A320-320-A321-321-32B-32A-32N-32Q
MCO,Orlando International Airport,LHR,Heathrow Airport,6973,Virgin Atlantic,A333-333-A35K-351
MCO,Orlando International Airport,LGW,London Gatwick Airport,6999,Norse UK-British Airways,B789-789-B772-777-B77L
MCO,Orlando International Airport,DXB,Dubai International Airport,12474,Emirates,B773-77W
MCO,Orlando International Airport,CUN,Cancún International Airport,997,JetBlue Airways-Frontier-Spirit Airlines,320-A20-A321-32N-321-A319-319
MCO,Orlando International Airport,MEX,Mexico City International Airport,2062,Aeromexico-Volaris,B738-7S8-32Q-32N
MCO,Orlando International Airport,FRA,Frankfurt Airport,7627,Discover Airlines,A333-333
MCO,Orlando International Airport,BOG,El Dorado International Airport,2748,Avianca-LATAM Airlines,A320-320
MCO,Orlando International Airport,GRU,São Paulo/Guarulhos International Airport,6877,LATAM Airlines,B789-789
MCO,Orlando International Airport,YYZ,Toronto Pearson International Airport,1704,Air Transat-Air Canada-WestJet,A21N-32Q-A320-321-A321-A319-319-7M8-73H-B737-7S8-73W-B38M-7M8
CLT,Charlotte Douglas International Airport,SEA,Seattle–Tacoma International Airport,3665,American Airlines,A321-321
CLT,Charlotte Douglas International Airport,PHX,Phoenix Sky Harbor International Airport,2851,American Airlines,A321-321-A21N-32Q
CLT,Charlotte Douglas International Airport,EWR,Newark Liberty International Airport,851,American Airlines,A321-321-A320-320-A319-319-739-B38M-7M8-73G-7M9-B738-73H-738-B737-B739
CLT,Charlotte Douglas International Airport,SFO,San Francisco International Airport,3691,American Airlines,A321-321
CLT,Charlotte Douglas International Airport,IAH,George Bush Intercontinental Airport,1469,United Airlines-American Airlines,B738-738-B737-A321-321-B38M-73G-7M8-E75L-E7W
CLT,Charlotte Douglas International Airport,BOS,Logan International Airport,1172,American Airlines-JetBlue Airways-Delta Air Lines-Spirit Airlines,A321-321-B738-738-E190-E90E75S-E75-E75L-E170-A320-32A-32N
CLT,Charlotte Douglas International Airport,FLL,Fort Lauderdale–Hollywood International Airport,1020,Spirit Airlines-American Airlines,A20N-32N-A321-321
CLT,Charlotte Douglas International Airport,MSP,Minneapolis/St Paul International Airport,1498,American Airlines-Delta Air Lines-New England Airlines-Sun Country Airlines,B738-738-A321-B712-717-CNJ
CLT,Charlotte Douglas International Airport,LGA,LaGuardia Airport,876,Spirit Airlines-American Airlines-Delta Air Lines,A321-32B-B738-A319-738-321-CRJ9-CR9-E70-E75S-E75-E170
CLT,Charlotte Douglas International Airport,LHR,Heathrow Airport,6416,American Airlines,B772-772
CLT,Charlotte Douglas International Airport,MAD,Adolfo Suárez Madrid–Barajas Airport,6604,American Airlines,B772-772
CLT,Charlotte Douglas International Airport,FCO,Leonardo da Vinci–Fiumicino Airport,7735,American Airlines,B772-772
